"date","Tamil Nadu/Airport Quarantine","Tamil Nadu/Airport quarantine","Tamil Nadu/Ariyalur","Tamil Nadu/CHENNAI","Tamil Nadu/Chengalpattu","Tamil Nadu/Chennai","Tamil Nadu/Coimbatore","Tamil Nadu/Cuddalore","Tamil Nadu/Dharmapuri","Tamil Nadu/Dindigul","Tamil Nadu/Erode","Tamil Nadu/KARUR","Tamil Nadu/Kallakurichi","Tamil Nadu/Kancheepuram","Tamil Nadu/Kanyakumari","Tamil Nadu/Karur","Tamil Nadu/Krishnagiri","Tamil Nadu/MADURAI","Tamil Nadu/Madurai","Tamil Nadu/Nagapattinam","Tamil Nadu/Namakkal","Tamil Nadu/Nilgiris","Tamil Nadu/Other State","Tamil Nadu/Perambalur","Tamil Nadu/Pudukkottai","Tamil Nadu/Railway Quarantine","Tamil Nadu/Ramanathapuram","Tamil Nadu/Ranipet","Tamil Nadu/Salem","Tamil Nadu/Sivaganga","Tamil Nadu/TENKASI","Tamil Nadu/Tenkasi","Tamil Nadu/Thanjavur","Tamil Nadu/Theni","Tamil Nadu/Thiruvallur","Tamil Nadu/Thiruvarur","Tamil Nadu/Thoothukkudi","Tamil Nadu/Tiruchirappalli","Tamil Nadu/Tirunelveli","Tamil Nadu/Tirupathur","Tamil Nadu/Tiruppur","Tamil Nadu/Tiruvannamalai","Tamil Nadu/Vellore","Tamil Nadu/Viluppuram","Tamil Nadu/Virudhunagar","Tamil Nadu/chengalpattu","Tamil Nadu/chennai"
"2020-03-30","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","   .00 %","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","",""
"2020-04-04","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","",""
"2020-04-05","","","","","   .00 %","   .00 %","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","   .00 %","","","","","","","",""
"2020-04-06","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-04-07","","","","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-04-08","","","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","   .00 %","","","   .00 %","","",""
"2020-04-09","","","","","   .00 %","   .00 %","","","","","   .00 %","","","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","",""
"2020-04-10","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","   .00 %","","   .00 %","","",""
"2020-04-11","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","",""
"2020-04-12","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","","","","   .00 %","","","","","","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","",""
"2020-04-13","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","",""
"2020-04-14","","","","","","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","","","","",""
"2020-04-15","","","","","   .00 %","   .00 %","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","",""
"2020-04-16","","","","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","",""
"2020-04-17","","","","","","   .00 %","","","","   .00 %","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","","",""
"2020-04-18","","","","","","   .00 %","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","","","","","",""
"2020-04-19","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","",""
"2020-04-20","","","","","","   .00 %","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","",""
"2020-04-21","","","","","   .00 %","   .00 %","   .00 %","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","","","","","   .00 %","   .00 %","","","   .00 %","","","","","","","","   .00 %","","",""
"2020-04-22","","","","","","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","","",""
"2020-04-23","","","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","",""
"2020-04-24","","","","","","   .00 %","   .00 %","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","   .00 %","",""
"2020-04-25","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","","","","","","","","   .00 %","","   .00 %","   .00 %","",""
"2020-04-26","","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","","","","","   .00 %","","","   .00 %","   .00 %","",""
"2020-04-27","","","","","","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","","",""
"2020-04-28","","","","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-04-29","","","","","   .00 %"," 20.00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-04-30","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","",""
"2020-05-01","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","",""
"2020-05-02","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-05-03","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %","","","","","","","","","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","","",""
"2020-05-04","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""
"2020-05-05","","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","",""
"2020-05-06","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-07","","","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-08","","","","","   .00 %"," 30.00 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-09","","","   .00 %","","   .00 %"," 40.00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","",""
"2020-05-10","","","   .00 %","","   .00 %","  6.67 %","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-11","","","   .00 %","",""," 66.67 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-12","","","   .00 %","",""," 91.67 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-13","","","   .00 %","",""," 60.24 %","","","","","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","",""
"2020-05-14","","","   .00 %","",""," 43.57 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-15","","","   .00 %","",""," 76.90 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","",""
"2020-05-16","","","   .00 %","","   .00 %"," 11.90 %","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-17","","","   .00 %","","   .00 %"," -9.76 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-18","","","   .00 %","","   .00 %"," 11.67 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","","","","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""
"2020-05-19","   .00 %","","   .00 %","","   .00 %"," 11.67 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-05-20","","","","","   .00 %"," -8.33 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","",""
"2020-05-21","   .00 %","","   .00 %","","   .00 %"," 46.67 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-22","   .00 %","","","","   .00 %"," 39.05 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-23","   .00 %","","","",""," 59.05 %","","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-24","   .00 %","","   .00 %","",""," 69.71 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-25","   .00 %","","","",""," 69.71 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","",""
"2020-05-26","   .00 %","","   .00 %","",""," 23.05 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-05-27","   .00 %","","   .00 %","",""," 28.76 %","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-05-28","   .00 %","","","",""," 33.76 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","",""
"2020-05-29","   .00 %","","   .00 %","",""," 22.49 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","",""
"2020-05-30","","","","",""," 19.63 %","","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","",""
"2020-05-31","   .00 %","","","",""," 29.63 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","",""
"2020-06-01","   .00 %","","   .00 %","",""," 36.20 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","",""
"2020-06-02","   .00 %","","   .00 %","","","  7.87 %","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","",""
"2020-06-03","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-06-04","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-06-05","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""
"2020-06-06","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""
"2020-06-07","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""
"2020-06-08","","","   .00 %","","","   .60 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","",""
"2020-06-09","","","   .00 %","","","  7.27 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","",""
"2020-06-10","   .00 %","","","",""," 10.12 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","",""
"2020-06-11","   .00 %","","   .00 %","","","  2.21 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","",""
"2020-06-12","   .00 %","","   .00 %","","","  2.21 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","",""
"2020-06-13","   .00 %","","   .00 %","","-16.67 %"," 16.87 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","",""
"2020-06-14","   .00 %","","   .00 %","","-16.67 %"," 16.29 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2020-06-15","   .00 %","","   .00 %",""," 23.33 %"," 19.63 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","",""
"2020-06-16","   .00 %","","   .00 %",""," 30.00 %"," 18.73 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","",""
"2020-06-17","   .00 %","","   .00 %",""," 30.00 %"," 22.44 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","",""
