"date","Nebraska/Adams","Nebraska/Antelope","Nebraska/Arthur","Nebraska/Banner","Nebraska/Blaine","Nebraska/Boone","Nebraska/Box Butte","Nebraska/Boyd","Nebraska/Brown","Nebraska/Buffalo","Nebraska/Burt","Nebraska/Butler","Nebraska/Cass","Nebraska/Cedar","Nebraska/Chase","Nebraska/Cherry","Nebraska/Cheyenne","Nebraska/Clay","Nebraska/Colfax","Nebraska/Cuming","Nebraska/Custer","Nebraska/Dakota","Nebraska/Dawes","Nebraska/Dawson","Nebraska/Deuel","Nebraska/Dixon","Nebraska/Dodge","Nebraska/Douglas","Nebraska/Dundy","Nebraska/Fillmore","Nebraska/Franklin","Nebraska/Frontier","Nebraska/Furnas","Nebraska/Gage","Nebraska/Garden","Nebraska/Garfield","Nebraska/Gosper","Nebraska/Grant","Nebraska/Greeley","Nebraska/Hall","Nebraska/Hamilton","Nebraska/Harlan","Nebraska/Hayes","Nebraska/Hitchcock","Nebraska/Holt","Nebraska/Hooker","Nebraska/Howard","Nebraska/Jefferson","Nebraska/Johnson","Nebraska/Kearney","Nebraska/Keith","Nebraska/Keya Paha","Nebraska/Kimball","Nebraska/Knox","Nebraska/Lancaster","Nebraska/Lincoln","Nebraska/Logan","Nebraska/Loup","Nebraska/Madison","Nebraska/McPherson","Nebraska/Merrick","Nebraska/Morrill","Nebraska/Nance","Nebraska/Nemaha","Nebraska/Nuckolls","Nebraska/Otoe","Nebraska/Pawnee","Nebraska/Perkins","Nebraska/Phelps","Nebraska/Pierce","Nebraska/Platte","Nebraska/Polk","Nebraska/Red Willow","Nebraska/Richardson","Nebraska/Rock","Nebraska/Saline","Nebraska/Sarpy","Nebraska/Saunders","Nebraska/Scotts Bluff","Nebraska/Seward","Nebraska/Sheridan","Nebraska/Sherman","Nebraska/Sioux","Nebraska/Stanton","Nebraska/Thayer","Nebraska/Thomas","Nebraska/Thurston","Nebraska/Unassigned","Nebraska/Valley","Nebraska/Washington","Nebraska/Wayne","Nebraska/Webster","Nebraska/Wheeler","Nebraska/York"
"2020-04-01","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-02","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-03","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-04","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-05","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 40.00 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-06","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %"," 46.67 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","-20.00 %","","   .00 %","","","","   .00 %"
"2020-04-07","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %"," 46.67 %","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","-20.00 %","","   .00 %","","","","   .00 %"
"2020-04-08","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %"," 51.67 %","","","","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","-20.00 %","","   .00 %","","","","   .00 %"
"2020-04-09","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %"," 51.67 %","","","","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-10","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %"," 11.67 %","","","","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","","   .00 %"
"2020-04-11","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","   .00 %","  5.00 %","","","   .00 %","","","   .00 %","","","   .00 %","",""," 40.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-12","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","  5.00 %","","","   .00 %","","","   .00 %","","","   .00 %","",""," 40.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-13","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-14","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 30.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-15","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","",""," 20.00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 30.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-16","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 34.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-17","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 44.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-18","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","",""," 44.00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-19","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 12.00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 16.22 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-20","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," 12.00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 26.22 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-21","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," 12.00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 22.22 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-22","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," 12.00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %"," 18.89 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-23","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," 17.00 %","","   .00 %","   .00 %","","   .00 %"," 40.00 %","","","   .00 %","","   .00 %"," 40.00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","  7.89 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-24","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","  5.00 %","","   .00 %","   .00 %","","   .00 %"," 40.00 %","","","   .00 %","","   .00 %"," 40.00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %"," 12.33 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-25","   .00 %","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","  5.00 %","","   .00 %","   .00 %","","   .00 %"," 40.00 %","","","   .00 %","","   .00 %"," 40.00 %","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","   .00 %","  2.33 %","","   .00 %","   .00 %","   .00 %","","   .00 %"
