"date","Kentucky/Adair","Kentucky/Allen","Kentucky/Anderson","Kentucky/Ballard","Kentucky/Barren","Kentucky/Bath","Kentucky/Bell","Kentucky/Boone","Kentucky/Bourbon","Kentucky/Boyd","Kentucky/Boyle","Kentucky/Bracken","Kentucky/Breathitt","Kentucky/Breckinridge","Kentucky/Bullitt","Kentucky/Butler","Kentucky/Caldwell","Kentucky/Calloway","Kentucky/Campbell","Kentucky/Carlisle","Kentucky/Carroll","Kentucky/Carter","Kentucky/Casey","Kentucky/Christian","Kentucky/Clark","Kentucky/Clay","Kentucky/Clinton","Kentucky/Crittenden","Kentucky/Cumberland","Kentucky/Daviess","Kentucky/Edmonson","Kentucky/Elliott","Kentucky/Estill","Kentucky/Fayette","Kentucky/Fleming","Kentucky/Floyd","Kentucky/Franklin","Kentucky/Fulton","Kentucky/Gallatin","Kentucky/Garrard","Kentucky/Grant","Kentucky/Graves","Kentucky/Grayson","Kentucky/Green","Kentucky/Greenup","Kentucky/Hancock","Kentucky/Hardin","Kentucky/Harlan","Kentucky/Harrison","Kentucky/Hart","Kentucky/Henderson","Kentucky/Henry","Kentucky/Hickman","Kentucky/Hopkins","Kentucky/Jackson","Kentucky/Jefferson","Kentucky/Jessamine","Kentucky/Johnson","Kentucky/Kenton","Kentucky/Knott","Kentucky/Knox","Kentucky/Larue","Kentucky/Laurel","Kentucky/Lawrence","Kentucky/Lee","Kentucky/Leslie","Kentucky/Letcher","Kentucky/Lewis","Kentucky/Lincoln","Kentucky/Livingston","Kentucky/Logan","Kentucky/Lyon","Kentucky/Madison","Kentucky/Magoffin","Kentucky/Marion","Kentucky/Marshall","Kentucky/Martin","Kentucky/Mason","Kentucky/McCracken","Kentucky/McCreary","Kentucky/McLean","Kentucky/Meade","Kentucky/Menifee","Kentucky/Mercer","Kentucky/Metcalfe","Kentucky/Monroe","Kentucky/Montgomery","Kentucky/Morgan","Kentucky/Muhlenberg","Kentucky/Nelson","Kentucky/Nicholas","Kentucky/Ohio","Kentucky/Oldham","Kentucky/Owen","Kentucky/Owsley","Kentucky/Pendleton","Kentucky/Perry","Kentucky/Pike","Kentucky/Powell","Kentucky/Pulaski","Kentucky/Robertson","Kentucky/Rockcastle","Kentucky/Rowan","Kentucky/Russell","Kentucky/Scott","Kentucky/Shelby","Kentucky/Simpson","Kentucky/Spencer","Kentucky/Taylor","Kentucky/Todd","Kentucky/Trigg","Kentucky/Trimble","Kentucky/Unassigned","Kentucky/Union","Kentucky/Warren","Kentucky/Washington","Kentucky/Wayne","Kentucky/Webster","Kentucky/Whitley","Kentucky/Wolfe","Kentucky/Woodford"
"2020-04-01","","0","1","","0","","","0","1","0","0","0","0","0","1","0","","0","0","","0","","","0","0","","","","","0","0","","","3","","","0","","","","0","","0","","","0","0","","0","","0","","","1","","7","0","","1","","","0","0","0","","","","0","","","0","0","0","","0","0","0","0","0","0","0","","0","0","","","0","","0","0","0","","0","","","0","","","0","0","","0","","","0","0","0","0","0","","","","3","0","0","0","0","0","","","0"
"2020-04-02","","0","1","","0","","","0","1","0","0","0","0","0","1","0","","0","0","","0","","","0","0","","","","","1","0","","","3","","","0","","","","0","","0","","","0","0","","0","","0","","","2","","7","0","","1","","","0","0","0","","","","0","","","0","0","0","","0","0","0","0","0","0","0","","0","0","","","0","","0","0","0","","0","","","0","","","0","0","","0","","","0","0","0","0","0","","","","14","0","0","0","0","0","","","0"
"2020-04-03","","0","1","","0","","","0","1","1","0","0","0","0","1","0","","0","1","","0","","","0","0","","","","","1","0","","","6","","","0","","","","1","","0","","","0","0","","0","","0","","","2","","11","0","","3","","","0","0","0","","","","0","","","0","0","0","","0","0","0","0","0","0","0","","0","0","","","0","","0","0","0","","0","","","0","","","0","1","","0","","","0","0","1","0","0","","","","3","0","0","0","0","0","","","0"
"2020-04-04","0","0","1","","0","0","","1","1","1","0","0","0","","2","0","0","0","1","","0","0","","0","0","","0","0","0","1","0","","","7","","","0","","","","1","0","0","","0","0","0","","0","","0","0","","2","","11","0","0","3","","","0","0","0","","","","0","","","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","0","","","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","","","","6","0","0","0","0","0","","","0"
"2020-04-05","0","0","1","","0","0","","1","1","1","0","0","0","0","2","0","0","0","1","","0","0","","0","0","","0","0","0","1","0","","","7","","","0","","","","1","0","0","","0","0","0","","0","","0","0","","4","","17","0","0","3","","","0","0","0","","","","0","","","0","0","1","","0","0","0","0","0","0","1","0","0","0","","","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","","","","0","0","0","0","0","0","","","1"
"2020-04-06","0","0","1","","0","0","","1","1","1","0","0","0","0","2","0","0","0","1","","0","0","","0","0","","0","0","0","1","0","","","7","","","0","","","","1","0","0","","0","0","0","","0","","0","0","","4","","17","0","0","3","","","0","0","0","","","","0","","","0","0","1","","0","0","0","0","0","0","1","0","0","0","","","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","","","","0","0","0","0","0","0","","","1"
"2020-04-07","0","0","1","","0","0","","1","1","2","0","0","0","0","2","0","0","0","3","","0","0","","0","0","","0","0","0","1","0","","","8","","","0","","","","1","0","0","","0","0","0","","0","","0","0","","4","","22","0","0","8","","","0","0","0","","0","","0","","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","","","","5","0","0","0","0","0","","","1"
"2020-04-08","0","0","1","","0","0","","1","1","2","0","0","0","0","2","0","0","0","3","","0","0","","0","0","","0","0","0","1","0","","","8","","","0","","","","1","0","0","","0","0","0","","0","","0","0","","4","","22","0","0","8","","","0","0","0","","0","","0","","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","","","","5","0","0","0","0","0","","","1"
"2020-04-09","0","0","1","0","0","0","","1","1","2","0","0","0","0","2","0","0","1","3","","0","0","","3","0","","0","0","0","1","0","","","8","","","0","","","","1","0","0","0","0","0","0","","0","0","0","0","","4","0","26","0","0","8","","","0","0","0","","0","0","0","","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","0","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","0","","","5","0","0","0","0","0","0","","1"
"2020-04-10","0","0","1","0","0","0","","1","1","2","0","0","0","0","2","0","0","1","3","","0","0","","3","0","","0","0","0","2","0","","","8","","","0","","","","1","0","0","0","0","0","0","","0","0","0","0","","4","0","26","0","0","8","","","0","0","0","","0","0","0","","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","0","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","0","","","21","0","0","0","0","0","0","","1"
"2020-04-11","0","0","1","0","0","0","","1","1","2","0","0","0","0","2","0","0","1","3","","0","0","","3","0","","0","0","0","2","0","","","8","","","0","","","","1","0","0","0","0","0","0","","0","0","0","0","","4","0","26","0","0","8","","","0","0","0","","0","0","0","","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","0","0","","0","0","0","0","0","","","0","0","0","0","1","","0","","0","0","0","1","0","0","0","","","21","0","0","0","0","0","0","","1"
"2020-04-12","0","0","1","0","0","0","","1","1","2","0","0","0","0","2","0","0","1","3","","0","0","","3","0","","0","0","0","2","0","","","8","0","0","0","","0","","1","0","0","0","0","0","0","","0","0","0","0","","4","0","26","0","0","8","0","0","0","0","0","","0","0","0","0","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","0","0","","0","0","0","0","0","","","0","0","0","0","1","","0","0","0","0","0","1","0","0","0","","0","28","0","0","0","0","0","0","","1"
"2020-04-13","0","0","1","0","0","0","","1","1","2","0","0","0","0","2","0","0","1","3","","0","0","","3","0","","0","0","0","2","0","","","8","0","0","0","","0","","1","0","0","0","0","0","0","","0","0","0","0","","4","0","42","0","0","8","0","0","0","0","0","","0","0","0","0","","0","0","1","","0","0","0","0","1","0","1","0","0","0","","0","0","","0","0","0","0","0","","","0","0","0","0","1","","0","0","0","0","0","1","0","0","0","","0","28","0","0","0","0","0","0","","1"
"2020-04-14","1","0","1","0","0","0","","2","1","2","0","0","0","0","2","1","0","1","3","","0","0","","3","0","","0","0","0","3","0","","","7","0","0","0","","0","","1","0","0","0","0","0","0","","0","0","0","0","","8","0","46","0","0","8","0","0","0","2","0","","0","0","0","0","","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-15","1","0","1","0","0","0","","2","1","2","0","0","0","0","2","1","0","1","3","","0","0","0","3","0","","0","0","0","3","0","","","7","0","0","0","","0","0","1","0","0","0","0","0","0","","0","0","0","0","","8","0","46","0","0","8","0","0","0","2","0","","0","0","0","0","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","0","0","1","1","0","0","0","0","0","9","0","0","0","0","0","0","","0"
"2020-04-16","3","0","1","0","0","0","","2","1","2","0","0","0","0","2","1","0","1","5","","0","0","0","3","0","","0","0","0","3","0","","","7","0","0","0","","0","0","1","1","0","0","0","0","0","","0","0","0","0","","9","2","56","0","0","10","0","0","0","2","0","","0","0","0","1","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-17","3","0","1","0","0","0","","2","1","2","0","0","0","0","2","1","0","1","5","","0","0","0","3","0","","0","0","0","3","0","","","7","0","0","0","","0","0","1","2","0","0","0","0","0","","0","0","0","0","","9","2","60","0","0","10","0","0","0","2","0","","0","0","0","1","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","2","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","","0"
"2020-04-18","3","0","1","0","0","0","","2","1","2","0","0","0","0","2","2","0","1","6","","0","0","0","3","0","","0","0","0","3","0","","","7","0","0","0","","0","0","1","2","0","0","0","0","0","","0","0","0","0","","9","2","60","0","0","10","0","0","0","2","0","","0","0","0","1","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","2","0","2","2","0","0","0","0","0","6","0","0","0","0","0","0","","0"
"2020-04-19","3","0","1","0","0","0","","2","1","2","0","0","0","0","2","2","0","1","6","","0","0","0","3","0","0","0","0","0","3","0","","","7","0","0","0","0","0","0","1","2","0","0","0","0","0","","0","0","0","0","","10","3","60","0","0","10","0","0","0","2","0","","0","0","0","1","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","1","0","2","","0","0","2","0","2","2","0","0","0","0","0","6","0","0","0","0","0","0","","0"
"2020-04-20","4","0","1","0","0","0","","2","1","2","0","0","0","0","2","2","0","1","6","","0","0","0","3","0","0","0","1","0","3","0","","","7","0","0","0","0","0","0","1","3","1","0","0","0","0","","0","0","0","0","","11","3","67","0","0","11","0","0","0","2","0","","0","0","0","1","0","0","2","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-21","4","0","1","0","0","0","","2","1","2","0","0","0","0","2","3","0","1","6","","0","0","0","3","0","0","0","1","0","3","0","","","7","0","0","0","0","0","0","2","6","1","0","0","0","0","","0","0","0","0","","16","4","70","0","0","13","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-22","4","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","","0","0","0","3","0","0","0","1","0","3","0","","","8","0","0","0","0","0","0","3","7","1","0","0","0","0","","0","0","0","0","0","17","4","76","0","0","15","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","2","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-23","5","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","0","0","0","0","3","0","0","0","1","0","3","0","","","8","0","0","0","0","0","0","3","7","1","0","0","0","0","","0","0","1","0","0","17","4","78","0","0","16","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","3","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-24","6","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","0","0","0","0","3","0","0","0","1","0","3","0","","","8","0","0","0","0","0","0","3","10","1","0","0","0","0","","0","0","1","0","0","19","5","78","0","0","16","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","4","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-25","7","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","0","0","0","0","3","0","0","0","1","0","3","0","","","8","0","0","0","0","0","0","3","11","1","0","0","0","0","","0","0","1","0","0","19","5","81","0","0","16","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","4","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-26","9","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","0","0","0","0","3","0","0","0","1","0","3","0","","","8","0","0","0","0","0","0","3","11","1","0","0","0","0","","0","0","1","0","0","19","6","81","0","0","16","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","4","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-27","9","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","7","0","0","0","0","3","0","0","0","1","0","3","0","","","9","0","0","0","0","0","0","3","11","1","0","0","0","0","","0","0","1","0","0","21","6","83","0","0","16","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","","0","0","0","4","0","0","0","0","","0","0","0","2","0","2","","0","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-28","10","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","9","0","0","0","0","3","0","0","0","1","0","3","0","","","9","0","0","0","0","0","0","3","13","1","0","0","0","0","","0","0","1","0","0","21","6","85","0","0","20","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-29","10","0","1","0","0","0","","2","1","3","0","0","0","0","2","3","0","1","9","0","0","0","0","3","0","0","0","1","0","3","0","","","9","0","0","0","0","0","0","3","13","3","0","0","0","0","","0","0","1","0","0","22","7","90","0","0","20","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"2020-04-30","10","0","1","0","0","1","","2","1","3","0","0","0","0","2","3","0","1","9","0","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","13","5","0","0","0","0","","0","0","1","0","0","22","7","91","0","0","20","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","","0"
"2020-05-01","11","0","1","0","0","1","","2","1","3","0","0","0","0","2","4","0","1","9","0","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","0","","0","0","1","0","0","22","8","93","0","0","20","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","0","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","","0"
"2020-05-02","11","0","1","0","0","1","","2","1","3","0","0","0","0","2","4","0","1","9","1","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","0","","0","0","1","0","0","22","8","93","0","0","20","0","0","0","2","0","","0","0","0","1","0","0","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","","0"
"2020-05-03","13","0","1","0","0","1","","2","1","3","0","0","0","0","2","4","0","1","9","1","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","0","","0","0","1","0","0","22","8","95","0","0","20","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","","0"
"2020-05-04","13","0","1","0","0","1","","2","1","3","0","0","0","0","2","4","0","1","9","1","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","1","","0","0","1","0","0","23","8","101","0","0","20","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","","0"
"2020-05-05","13","0","1","0","0","1","","4","1","3","0","0","0","0","2","4","0","1","9","1","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","1","","0","0","2","0","0","24","10","105","0","0","24","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","2","","0","0","3","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","","0"
"2020-05-06","13","0","1","0","0","1","","4","1","3","0","0","0","0","2","4","0","1","9","1","0","0","0","3","0","0","0","1","0","4","0","","","9","0","0","0","0","0","0","3","14","5","0","0","0","1","","0","0","2","0","0","24","12","106","0","0","26","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","2","","0","0","4","0","3","2","0","0","0","0","0","0","0","1","0","0","0","0","","0"
"2020-05-07","13","0","1","0","0","1","","4","1","3","0","0","0","0","2","6","0","1","9","1","0","0","0","3","0","0","0","1","0","4","5","","","9","0","0","0","0","0","0","3","14","6","0","0","0","2","0","0","0","2","0","0","24","12","107","0","0","26","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","2","","0","0","4","0","3","2","0","0","0","0","0","0","0","2","0","0","0","0","","0"
"2020-05-08","13","0","1","0","0","1","","4","1","3","0","0","0","0","3","6","0","1","9","1","0","0","0","3","0","0","0","1","0","4","6","","","9","0","0","0","0","0","0","3","14","6","0","0","0","2","0","0","0","2","0","0","25","12","108","0","0","26","0","0","0","2","0","","0","0","0","1","0","1","3","1","","0","1","0","0","2","0","1","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","2","","0","0","4","0","3","2","0","0","0","0","0","0","0","2","0","0","0","0","","0"
